"","Player","Teams","Maps","Rounds","K.D.Diff","K.D","Rating2.0"
"1","s1mple",NA,186,4948,1340,1.45,1.34
"2","ZywOo",NA,164,4326,984,1.38,1.3
"3","try",NA,176,4647,1133,1.42,1.28
"4","oSee",NA,286,7462,1693,1.38,1.27
"5","saffee",NA,250,6565,1402,1.35,1.26
"6","sh1ro",NA,232,6080,1475,1.47,1.25
"7","deko",NA,331,8951,2022,1.39,1.25
"8","torzsi",NA,157,4090,935,1.39,1.24
"9","NiKo",NA,193,5201,757,1.22,1.24
"10","sterling",NA,205,5165,1059,1.35,1.24
"11","SENSEi",NA,147,3933,810,1.37,1.23
"12","HaZR",NA,205,5165,726,1.22,1.22
"13","El1an",NA,435,11445,1964,1.29,1.21
"14","XANTARES",NA,313,8344,1055,1.19,1.21
"15","Vexite",NA,163,4229,585,1.21,1.21
"16","smooya",NA,203,5332,992,1.32,1.2
"17","dgt",NA,167,4417,752,1.29,1.19
"18","Rickeh",NA,149,3867,645,1.29,1.19
"19","JOTA",NA,202,5233,631,1.2,1.19
"20","Ax1Le",NA,242,6351,814,1.21,1.19
"21","SunPayus",NA,187,4991,774,1.26,1.18
"22","ropz",NA,151,4037,638,1.26,1.18
"23","roeJ",NA,297,7941,611,1.11,1.18
"24","HObbit",NA,236,6192,657,1.17,1.18
"25","mir",NA,147,3796,379,1.15,1.18
"26","oskar",NA,294,7806,1328,1.29,1.18
"27","max",NA,162,4300,474,1.18,1.18
"28","degster",NA,188,4863,784,1.27,1.18
"29","dav1d",NA,166,4425,420,1.14,1.18
"30","KSCERATO",NA,158,4217,556,1.21,1.17
"31","NEOFRAG",NA,323,8655,781,1.14,1.17
"32","reiko",NA,149,4023,302,1.1,1.17
"33","XotiC",NA,146,3911,461,1.18,1.17
"34","blameF",NA,189,5078,548,1.17,1.17
"35","PwnAlone",NA,297,7799,934,1.19,1.16
"36","FL1T",NA,262,7092,701,1.15,1.16
"37","Woro2k",NA,178,4830,645,1.21,1.16
"38","h4rn",NA,233,6147,759,1.2,1.16
"39","Tuurtle",NA,219,5648,618,1.17,1.16
"40","faveN",NA,291,7820,875,1.17,1.16
"41","BOROS",NA,159,4329,231,1.07,1.16
"42","mezii",NA,240,6491,692,1.17,1.15
"43","Jame",NA,179,4856,800,1.31,1.15
"44","frozen",NA,149,3984,328,1.13,1.15
"45","cynic",NA,310,8037,856,1.17,1.15
"46","snatchie",NA,349,9417,1179,1.2,1.15
"47","felps",NA,152,4011,200,1.07,1.15
"48","rigoN",NA,160,4319,264,1.08,1.15
"49","forsyy",NA,170,4581,537,1.19,1.15
"50","Lucaozy",NA,147,3889,268,1.1,1.15
"51","Infinite",NA,221,5759,503,1.14,1.15
"52","Bwills",NA,293,7550,617,1.13,1.15
"53","hAdji",NA,281,7397,720,1.15,1.14
"54","XELLOW",NA,191,5038,588,1.18,1.14
"55","zevy",NA,147,3889,494,1.2,1.14
"56","zorte",NA,317,8546,1123,1.23,1.14
"57","biguzera",NA,237,6245,572,1.15,1.14
"58","Maka",NA,281,7397,743,1.16,1.14
"59","dennyslaw",NA,454,12289,1478,1.2,1.14
"60","Spinx",NA,200,5261,514,1.15,1.14
"61","nython",NA,198,5260,535,1.16,1.14
"62","broky",NA,148,3997,539,1.22,1.14
"63","iM",NA,298,8057,428,1.08,1.14
"64","device",NA,150,3953,415,1.17,1.14
"65","Sobol",NA,188,5048,447,1.13,1.14
"66","Valiance",NA,163,4229,411,1.16,1.14
"67","dream3r",NA,343,9134,1113,1.2,1.14
"68","YEKINDAR",NA,180,4881,104,1.03,1.14
"69","iDISBALANCE",NA,257,6814,775,1.18,1.14
"70","electroNic",NA,186,4948,325,1.1,1.13
"71","n0rb3r7",NA,311,8285,562,1.1,1.13
"72","FpSSS",NA,154,4037,421,1.17,1.13
"73","Krimbo",NA,183,4865,468,1.15,1.13
"74","Twistzz",NA,148,3997,376,1.15,1.13
"75","Goofy",NA,315,8647,376,1.06,1.13
"76","lollipop21k",NA,241,6422,407,1.09,1.13
"77","H4RR3",NA,153,4221,149,1.05,1.13
"78","anarkez",NA,242,6488,525,1.13,1.13
"79","xsepower",NA,203,5410,606,1.19,1.13
"80","REDSTAR",NA,306,8102,754,1.15,1.13
"81","woxic",NA,183,4786,547,1.19,1.13
"82","glowiing",NA,302,8077,386,1.07,1.13
"83","hades",NA,232,6227,714,1.19,1.12
"84","junior",NA,209,5459,692,1.21,1.12
"85","KEi",NA,269,7198,234,1.05,1.12
"86","Aerial",NA,239,6404,417,1.1,1.12
"87","dumau",NA,152,4011,395,1.16,1.12
"88","huNter-",NA,193,5201,411,1.12,1.12
"89","Sonic",NA,212,5557,354,1.1,1.12
"90","stavn",NA,151,4098,225,1.08,1.12
"91","Ryxxo",NA,156,4109,390,1.16,1.12
"92","Patsi",NA,158,4197,137,1.05,1.12
"93","s4",NA,211,5756,570,1.16,1.12
"94","rallen",NA,302,8205,563,1.11,1.12
"95","imoRR",NA,283,7522,141,1.03,1.12
"96","xseveN",NA,239,6404,243,1.06,1.12
"97","FaNg",NA,297,7765,553,1.11,1.12
"98","yuurih",NA,158,4217,323,1.12,1.11
"99","apocdud",NA,176,4571,156,1.05,1.11
"100","slaxz-",NA,302,8174,685,1.13,1.11
"101","USTILO",NA,163,4229,313,1.12,1.11
"102","Swisher",NA,239,6172,249,1.06,1.11
"103","k0nfig",NA,151,4088,219,1.08,1.11
"104","TRAVIS",NA,322,8702,338,1.06,1.11
"105","MarKE",NA,270,7010,334,1.08,1.11
"106","Forester",NA,437,11493,765,1.1,1.11
"107","jedqr",NA,315,8647,432,1.08,1.11
"108","Jonji",NA,168,4298,-148,0.95,1.11
"109","afro",NA,343,9071,789,1.14,1.11
"110","pz",NA,169,4398,330,1.12,1.11
"111","b1t",NA,176,4676,401,1.14,1.11
"112","mou",NA,196,5223,492,1.15,1.11
"113","PlesseN",NA,275,7390,210,1.04,1.11
"114","CRUC1AL",NA,308,8283,660,1.13,1.1
"115","JDC",NA,147,3878,301,1.12,1.1
"116","flameZ",NA,144,3904,123,1.05,1.1
"117","FASHR",NA,364,9655,373,1.06,1.1
"118","juanflatroo",NA,254,6750,170,1.03,1.1
"119","HexT",NA,262,6946,232,1.05,1.1
"120","Raijin",NA,142,3962,250,1.1,1.1
"121","DeStiNy",NA,195,5181,110,1.03,1.1
"122","SHiPZ",NA,474,12839,502,1.06,1.1
"123","WolfY",NA,259,6854,696,1.17,1.1
"124","cxzi",NA,209,5425,123,1.03,1.1
"125","nicoodoz",NA,421,11350,1082,1.16,1.1
"126","malbsMd",NA,212,5478,135,1.03,1.1
"127","chawzyyy",NA,275,7357,443,1.09,1.1
"128","fame",NA,291,7773,480,1.1,1.1
"129","CLASIA",NA,161,4210,197,1.07,1.1
"130","PANIX",NA,148,3892,205,1.08,1.1
"131","byr9",NA,211,5756,103,1.03,1.1
"132","syrsoN",NA,240,6434,519,1.13,1.09
"133","Liki",NA,205,5165,171,1.05,1.09
"134","ritchiEE",NA,181,4814,284,1.09,1.09
"135","Roflko",NA,145,3774,223,1.09,1.09
"136","clax",NA,152,3928,302,1.12,1.09
"137","REZ",NA,193,5106,216,1.06,1.09
"138","ap0c",NA,148,3754,32,1.01,1.09
"139","hardzao",NA,237,6245,496,1.13,1.09
"140","WOOD7",NA,219,5648,342,1.1,1.09
"141","f0rest",NA,249,6877,439,1.1,1.09
"142","exit",NA,142,3663,278,1.13,1.09
"143","robiin",NA,209,5548,79,1.02,1.09
"144","Lucky",NA,343,9071,446,1.08,1.09
"145","Rainwaker",NA,451,12217,752,1.1,1.09
"146","ADDICT",NA,169,4398,291,1.11,1.09
"147","FREDDyFROG",NA,193,5167,366,1.11,1.09
"148","Snax",NA,248,6602,386,1.09,1.09
"149","latto",NA,152,4011,138,1.05,1.09
"150","kai",NA,146,3826,168,1.07,1.09
"151","dycha",NA,201,5287,80,1.02,1.09
"152","STOMP",NA,199,5364,339,1.1,1.08
"153","djay",NA,235,6093,257,1.06,1.08
"154","cadiaN",NA,155,4207,277,1.11,1.08
"155","DemQQ",NA,156,4122,95,1.03,1.08
"156","JUST",NA,272,7190,317,1.07,1.08
"157","jL",NA,190,5067,278,1.08,1.08
"158","Danejoris",NA,145,3804,139,1.06,1.08
"159","Thomas",NA,218,5892,6,1,1.08
"160","Lekr0",NA,255,7048,182,1.04,1.08
"161","bodyy",NA,343,9071,29,1,1.08
"162","hallzerk",NA,255,7048,411,1.09,1.08
"163","F1KU",NA,304,8257,216,1.04,1.08
"164","gxx-",NA,274,7291,698,1.16,1.08
"165","mopoz",NA,258,6817,148,1.03,1.08
"166","tabseN",NA,240,6434,-19,1,1.08
"167","ZOREE",NA,223,5950,584,1.16,1.08
"168","Jerry",NA,327,8824,82,1.01,1.08
"169","SaVage",NA,203,5109,324,1.11,1.08
"170","HEAP",NA,255,7048,206,1.04,1.07
"171","TeSeS",NA,155,4207,94,1.03,1.07
"172","alex",NA,258,6817,238,1.05,1.07
"173","NEKIZ",NA,237,6245,136,1.03,1.07
"174","paz",NA,184,4959,234,1.07,1.07
"175","mar",NA,283,7509,175,1.04,1.07
"176","lauNX",NA,148,3867,97,1.04,1.07
"177","dennis",NA,199,5325,145,1.04,1.07
"178","motm",NA,188,5063,81,1.02,1.07
"179","b0denmaster",NA,154,4087,144,1.05,1.07
"180","Nodios",NA,190,5191,139,1.04,1.07
"181","uli",NA,206,5606,115,1.03,1.07
"182","Markos",NA,209,5748,384,1.11,1.07
"183","phzy",NA,352,9419,559,1.1,1.07
"184","NOPEEJ",NA,152,4079,178,1.07,1.06
"185","MATYS",NA,172,4630,78,1.02,1.06
"186","jabbi",NA,422,11375,429,1.06,1.06
"187","szejn",NA,244,6420,118,1.03,1.06
"188","KENSI",NA,327,8824,387,1.07,1.06
"189","STYKO",NA,144,3850,160,1.07,1.06
"190","siuhy",NA,245,6442,7,1,1.06
